,postalCode,addressRegion,streetAddress,NA,bed,bath,sqft,price_per_sqrt,CND,NA,lot_size,built,on_site,NA,price,link,HOA,img,City,Region,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7,imgs_to_train
12,94103,CA,30 Dore Street,,,,38618.0,842.0,MFR,,8500.0,2007.0,2,,32500000,https://www.ziprealty.com/property/30-Dore-St-San-Francisco-CA-94103/87953797/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/444964_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P01.jpg']
13,94103,CA,114 Russ Street,,4.0,3.0,1650.0,1030.0,CND,,1921.0,1908.0,5,,1700000,https://www.ziprealty.com/property/114-RUSS-ST-SAN-FRANCISCO-CA-94103/87723041/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577789_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P01.jpg']
14,94103,CA,1160 Mission Street #1205,,1.0,1.0,664.0,1054.0,CND,,43556.0,2008.0,5,,699950,https://www.ziprealty.com/property/1160-MISSION-ST-_UNIT_1205-SAN-FRANCISCO-CA-94103/10632998/detail,608.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/81581222_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P01.jpg']
15,94103,CA,112a Russ Street,,2.0,2.0,788.0,1142.0,CND,,1921.0,1908.0,5,,900000,https://www.ziprealty.com/property/112A-Russ-St-San-Francisco-CA-94103/87944641/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577788_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P01.jpg']
16,94103,CA,112 Russ Street,,2.0,2.0,840.0,1167.0,CND,,1921.0,1908.0,5,,980000,https://www.ziprealty.com/property/112-RUSS-ST-SAN-FRANCISCO-CA-94103/87723043/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577787_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P01.jpg']
17,94103,CA,574 Natoma Street #101,,,1.0,303.0,1617.0,CND,,,2012.0,5,,490000,https://www.ziprealty.com/property/574-NATOMA-ST-_UNIT_101-SAN-FRANCISCO-CA-94103/82840250/detail,280.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/81580824_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P01.jpg']
18,94103,CA,140 South Van Ness Avenue #1147,,2.0,1.0,1115.0,761.0,CND,,,2002.0,5,,849000,https://www.ziprealty.com/property/140-S-VAN-NESS-AVE-_UNIT_1147-SAN-FRANCISCO-CA-94103/79336530/detail,510.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445012_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P01.jpg']
19,94103,CA,360 Guerrero Street #202,,2.0,1.0,964.0,829.0,CND,,,1983.0,6,,799000,https://www.ziprealty.com/property/360-GUERRERO-ST-_UNIT_202-SAN-FRANCISCO-CA-94103/10628102/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/444195_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P01.jpg']
20,94103,CA,23 Boardman Place,,,,4450.0,582.0,MFR,,2935.0,1907.0,6,,2590000,https://www.ziprealty.com/property/23-BOARDMAN-PL-SAN-FRANCISCO-CA-94103/10638968/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/444809_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P01.jpg']
21,94103,CA,52 Rosemont Place,,1.0,1.0,709.0,1058.0,CND,,,1916.0,12,,750000,https://www.ziprealty.com/property/52-ROSEMONT-PL-SAN-FRANCISCO-CA-94103/81332466/detail,200.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/46/444639_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/46/39/_P/444639_P01.jpg']
22,94103,CA,765 Market Street #24cd,,3.0,4.0,3343.0,2453.0,CND,,,2001.0,13,,8200000,https://www.ziprealty.com/property/765-Market-St-_UNIT_24CD-San-Francisco-CA-94103/87884103/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/45/444553_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/45/53/_P/444553_P01.jpg']
23,94103,CA,469 South Van Ness Avenue,,3.0,3.0,1993.0,978.0,CND,,,1900.0,15,,1950000,https://www.ziprealty.com/property/469-S-VAN-NESS-AVE-SAN-FRANCISCO-CA-94103/79333848/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/45/444565_180.jpg,SF,Inner Mission,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/45/65/_P/444565_P01.jpg']
