,postalCode,addressRegion,streetAddress,NA1,bed,bath,sqft,price_per_sqrt,CND,NA2,lot_size,built,on_site,NA3,price,link,HOA,img,City,Region,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7,imgs_to_train
103,94105,CA,301 Mission Street #49a,,2.0,3.0,2706.0,2347.0,CND,,,2009.0,76,,6350000,https://www.ziprealty.com/property/301-MISSION-ST-_UNIT_49A-SAN-FRANCISCO-CA-94105/84379877/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/19/441960_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/19/60/_P/441960_P01.jpg']
104,94105,CA,301 Main Street #18a,,2.0,2.0,1184.0,1351.0,CND,,,2008.0,77,,1599000,https://www.ziprealty.com/property/301-MAIN-ST-_UNIT_18A-SAN-FRANCISCO-CA-94105/86103191/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/21/442196_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/21/96/_P/442196_P01.jpg']
105,94105,CA,333 Beale Street #2b,,1.0,2.0,,,CND,,,2016.0,85,,1245000,https://www.ziprealty.com/property/333-Beale-St-_UNIT_2B-San-Francisco-CA-94105/87542612/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/18/441870_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/18/70/_P/441870_P01.jpg']
106,94105,CA,400 Spear Street #203,,1.0,1.0,955.0,1046.0,CND,,,1996.0,104,,999000,https://www.ziprealty.com/property/400-Spear-St-_UNIT_203-San-Francisco-CA-94105/87483395/detail,315.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/13/441349_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/13/49/_P/441349_P01.jpg']
107,94105,CA,425 1st Street #2708,,1.0,1.0,755.0,1583.0,CND,,,2008.0,111,,1195000,https://www.ziprealty.com/property/425-1ST-ST-_UNIT_2708-SAN-FRANCISCO-CA-94105/10637002/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/11/441108_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/11/08/_P/441108_P01.jpg']
108,94105,CA,301 Mission Street #53c,,2.0,4.0,2819.0,2659.0,CND,,,2009.0,114,,7495000,https://www.ziprealty.com/property/301-MISSION-ST-_UNIT_53C-SAN-FRANCISCO-CA-94105/87022930/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/09/440957_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/09/57/_P/440957_P01.jpg']
109,94105,CA,301-301 Mission Street #906,,1.0,2.0,1633.0,1439.0,CND,,,2009.0,118,,2350000,https://www.ziprealty.com/property/link/M-440833-CABCREIS/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/08/440833_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/08/33/_P/440833_P01.jpg']
110,94105,CA,501 Beale Street #4g,,1.0,1.0,655.0,1067.0,CND,,,2006.0,146,,699000,https://www.ziprealty.com/property/501-BEALE-ST-_UNIT_4G-SAN-FRANCISCO-CA-94105/10637982/detail,763.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/04/440487_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/04/87/_P/440487_P01.jpg']
111,94105,CA,333 Main Street #2b,,1.0,2.0,1216.0,986.0,CND,,,2008.0,154,,1199000,https://www.ziprealty.com/property/333-MAIN-ST-_UNIT_2B-SAN-FRANCISCO-CA-94105/86625733/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/02/440285_180.jpg,SF,South Beach,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/02/85/_P/440285_P01.jpg']
112,94105,CA,246 2nd Street #1703,,2.0,2.0,1289.0,1315.0,CND,,,2000.0,222,,1695000,https://www.ziprealty.com/property/246-2ND-ST-_UNIT_1703-SAN-FRANCISCO-CA-94105/10634472/detail,643.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/80/438095_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/80/95/_P/438095_P01.jpg']
113,94105,CA,188 Minna Street #25f,,2.0,2.0,1527.0,2128.0,CND,,,2005.0,313,,3250000,https://www.ziprealty.com/property/188-MINNA-ST-_UNIT_25F-SAN-FRANCISCO-CA-94105/10633681/detail,,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/40/434081_180.jpg,SF,South of Market,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/43/40/81/_P/434081_P01.jpg']
114,94105,CA,333 Main Street #4k,,1.0,1.0,832.0,1142.0,CND,,,2008.0,331,,949950,https://www.ziprealty.com/property/333-MAIN-ST-_UNIT_4K-SAN-FRANCISCO-CA-94105/85222007/detail,824.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/46/92/81469226_180.jpg,SF,Other,94105.0,San Francisco,California,CA,San Francisco,37.7864,-122.3892,,[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/46/92/26/_P/81469226_P01.jpg']
